 First iteration    1370.6027174515568             1130   1.2129227588066875     
After minimisation    1363.79  1130     1.207

  Partial chi2s 
Dataset    1    455.54   377  HERA1+2 NCep 920                                
Dataset    2     68.14    70  HERA1+2 NCep 820                                
Dataset    3    229.66   254  HERA1+2 NCep 575                                
Dataset    4    221.84   204  HERA1+2 NCep 460                                
Dataset    5    211.13   159  HERA1+2 NCem                                    
Dataset    6     44.59    39  HERA1+2 CCep                                    
Dataset    7     47.17    42  HERA1+2 CCem                                    

 Correlated Chi2    85.719131282075168     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
  134  sysHZComb1134                          0.3100   +/-   0.9786        :N:M:D
  135  sysHZComb1135                         -1.1666   +/-   0.8173        :N:M:D
  136  sysHZComb1136                          0.2656   +/-   0.8766        :N:M:D
  137  sysHZComb1137                         -0.2746   +/-   0.8836        :N:M:D
  138  sysHZComb1138                          0.4461   +/-   0.9195        :N:M:D
  139  sysHZComb1139                         -0.7860   +/-   0.9423        :N:M:D
  140  sysHZComb1140                         -0.0792   +/-   0.9576        :N:M:D
  141  sysHZComb1141                         -0.1818   +/-   0.9709        :N:M:D
  142  sysHZComb1142                          1.1032   +/-   0.8612        :N:M:D
  143  sysHZComb1143                          0.5392   +/-   0.8554        :N:M:D
  144  sysHZComb1144                          1.7270   +/-   0.8400        :N:M:D
  145  sysHZComb1145                          0.3782   +/-   0.9861        :N:M:D
  146  sysHZComb1146                          0.2632   +/-   0.9896        :N:M:D
  147  sysHZComb1147                          0.8528   +/-   0.8022        :N:M:D
  148  sysHZComb1148                         -0.4906   +/-   0.7920        :N:M:D
  149  sysHZComb1149                          0.5479   +/-   0.7688        :N:M:D
  150  sysHZComb1150                         -0.4155   +/-   0.7861        :N:M:D
  151  sysHZComb1151                          0.1826   +/-   0.9632        :N:M:D
  152  sysHZComb1152                          0.9053   +/-   0.7331        :N:M:D
  153  sysHZComb1153                         -1.4576   +/-   0.8334        :N:M:D
  154  sysHZComb1154                         -0.1286   +/-   0.8096        :N:M:D
  155  sysHZComb1155                          1.0628   +/-   0.8132        :N:M:D
  156  sysHZComb1156                          0.0476   +/-   0.9150        :N:M:D
  157  sysHZComb1157                          1.4152   +/-   0.7258        :N:M:D
  158  sysHZComb1158                          0.1572   +/-   0.7984        :N:M:D
  159  sysHZComb1159                         -0.0322   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0199   +/-   0.8816        :N:M:D
  161  sysHZComb1161                          0.7917   +/-   0.8411        :N:M:D
  162  sysHZComb1162                          0.7305   +/-   0.8877        :N:M:D
  163  proc_nrl                               0.1956   +/-   0.3875        :N:M:D
  164  proc_tb21                             -2.5915   +/-   0.6691        :N:M:D
  165  proc_tb22                             -1.5075   +/-   0.3047        :N:M:D
  166  proc_tb23                             -0.3749   +/-   0.4345        :N:M:D
  167  proc_tb24                             -0.6178   +/-   0.4085        :N:M:D
  168  proc_gp                                0.0689   +/-   0.4520        :N:M:D
  169  proc_had                               0.7535   +/-   0.5360        :N:M:D
